Date;Indicator;Province;Destination;value
2023-July;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;8161.0
2023-August;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;8367.0
2021-September;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;1758.0
2022-September;Tourists Number (Overnight Visitors);Jouf Province;Sakaka;790.0
2023-January;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;1135.0
2021-February;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;93.0
2023-February;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;339.0
2023-July;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;178.0
2023-October;Tourists Number (Overnight Visitors);Jouf Province;Other Jouf;160.0
2022-September;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;3.0
2023-September;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;4714.0
2023-December;Tourists Number (Overnight Visitors);Madinah Province;Al Ula;18410.0
2022-February;Tourists Number (Overnight Visitors);Madinah Province;Madinah;671.0
2022-April;Tourists Number (Overnight Visitors);Madinah Province;Madinah;1165.0
2023-September;Tourists Number (Overnight Visitors);Madinah Province;Madinah;19400.0
2022-November;Tourists Number (Overnight Visitors);Madinah Province;Madinah;12872.0
2023-December;Tourists Number (Overnight Visitors);Madinah Province;Madinah;7539.0
2023-February;Tourists Number (Overnight Visitors);Madinah Province;Yanbu;1775.0
2023-April;Tourists Number (Overnight Visitors);Madinah Province;Yanbu;8190.0
2023-July;Tourists Number (Overnight Visitors);Madinah Province;Yanbu;2485.0
2021-October;Tourists Number (Overnight Visitors);Madinah Province;Yanbu;145.0
2023-October;Tourists Number (Overnight Visitors);Madinah Province;Yanbu;700.0
2022-June;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;98.0
2023-October;Tourists Number (Overnight Visitors);Madinah Province;Other Madinah;190.0
2021-January;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;35015.0
2021-April;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;28502.0
2022-July;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;141121.0
2022-September;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;122208.0
2022-October;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;84792.0
2023-October;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;90702.0
2022-November;Tourists Number (Overnight Visitors);Makkah Province;Jeddah;103060.0
2022-January;Tourists Number (Overnight Visitors);Makkah Province;Makkah;247220.0
2023-January;Tourists Number (Overnight Visitors);Makkah Province;Makkah;1286770.0
2021-February;Tourists Number (Overnight Visitors);Makkah Province;Makkah;2977.0
2021-April;Tourists Number (Overnight Visitors);Makkah Province;Makkah;15023.0
2021-May;Tourists Number (Overnight Visitors);Makkah Province;Makkah;8087.0
2021-June;Tourists Number (Overnight Visitors);Makkah Province;Makkah;3471.0
2022-October;Tourists Number (Overnight Visitors);Makkah Province;Makkah;1014152.0
2021-November;Tourists Number (Overnight Visitors);Makkah Province;Makkah;65060.0
2021-April;Tourists Number (Overnight Visitors);Makkah Province;Rabigh;156.0
2021-October;Tourists Number (Overnight Visitors);Makkah Province;Rabigh;81.0
2021-January;Tourists Number (Overnight Visitors);Makkah Province;Taif;229.0
2021-February;Tourists Number (Overnight Visitors);Makkah Province;Taif;302.0
2023-March;Tourists Number (Overnight Visitors);Makkah Province;Taif;3806.0
2021-April;Tourists Number (Overnight Visitors);Makkah Province;Taif;736.0
2021-June;Tourists Number (Overnight Visitors);Makkah Province;Taif;74.0
2022-June;Tourists Number (Overnight Visitors);Makkah Province;Taif;1032.0
2023-June;Tourists Number (Overnight Visitors);Makkah Province;Taif;1085.0
2023-September;Tourists Number (Overnight Visitors);Makkah Province;Taif;11551.0
2022-November;Tourists Number (Overnight Visitors);Makkah Province;Taif;8365.0
2023-December;Tourists Number (Overnight Visitors);Makkah Province;Taif;11655.0
2021-January;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;51.0
2022-January;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;1.0
2021-May;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;25.0
2023-June;Tourists Number (Overnight Visitors);Makkah Province;Other Makkah;1526.0
2023-February;Tourists Number (Overnight Visitors);Najran Province;Najran;104.0
2023-April;Tourists Number (Overnight Visitors);Najran Province;Najran;207.0
2021-May;Tourists Number (Overnight Visitors);Najran Province;Najran;95.0
2022-June;Tourists Number (Overnight Visitors);Najran Province;Najran;405.0
2023-June;Tourists Number (Overnight Visitors);Najran Province;Najran;918.0
2023-September;Tourists Number (Overnight Visitors);Najran Province;Najran;1391.0
2023-October;Tourists Number (Overnight Visitors);Najran Province;Najran;113.0
2021-January;Tourists Number (Overnight Visitors);Najran Province;Other Najran;148.0
2023-January;Tourists Number (Overnight Visitors);Najran Province;Other Najran;0.0
2023-May;Tourists Number (Overnight Visitors);Najran Province;Other Najran;0.0
2021-June;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;7208.0
2022-September;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;30516.0
2022-October;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;4427.0
2023-October;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;14379.0
2021-November;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;9198.0
2023-December;Tourists Number (Overnight Visitors);Northern Borders Province;Arar;17273.0
2023-March;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;15071.0
2022-July;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;36235.0
2022-October;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;2172.0
2021-November;Tourists Number (Overnight Visitors);Northern Borders Province;Other Northern Borders;4693.0
2022-February;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;80884.0
2023-June;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;195478.0
2021-August;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;83245.0
2022-August;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;124745.0
2021-September;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;101706.0
2023-September;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;205114.0
2021-October;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;118391.0
2022-October;Tourists Number (Overnight Visitors);Riyadh Province;Riyadh;180325.0
2022-February;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;1723.0
2023-February;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;12583.0
2021-May;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;833.0
2022-May;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;11330.0
2023-July;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;22237.0
2023-September;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;18802.0
2022-October;Tourists Number (Overnight Visitors);Riyadh Province;Other Riyadh;11255.0
2023-January;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;850.0
2023-July;Tourists Number (Overnight Visitors);Tabuk Province;Al Wajh;178.0
2021-May;Tourists Number (Overnight Visitors);Tabuk Province;Duba;564.0
2021-August;Tourists Number (Overnight Visitors);Tabuk Province;Duba;163.0
2021-October;Tourists Number (Overnight Visitors);Tabuk Province;Duba;101.0
2022-February;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;8965.0
2022-March;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;43.0
2021-April;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;2367.0
2021-September;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;1572.0
2021-November;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;1001.0
2022-December;Tourists Number (Overnight Visitors);Tabuk Province;Tabuk;1213.0
2023-May;Tourists Number (Overnight Visitors);Tabuk Province;Umluj;962.0
2023-August;Tourists Number (Overnight Visitors);Tabuk Province;Umluj;448.0
2023-October;Tourists Number (Overnight Visitors);Tabuk Province;Umluj;844.0
2023-June;Tourists Number (Overnight Visitors);Tabuk Province;Other Tabuk;840.0
2021-January;Tourists Number (Overnight Visitors);Total;Total;232765.0
2021-February;Tourists Number (Overnight Visitors);Total;Total;125032.0
2023-April;Tourists Number (Overnight Visitors);Total;Total;2424141.0
2021-June;Tourists Number (Overnight Visitors);Total;Total;175431.0
2022-June;Tourists Number (Overnight Visitors);Total;Total;867216.0
2021-September;Tourists Number (Overnight Visitors);Total;Total;308163.0
2022-October;Tourists Number (Overnight Visitors);Total;Total;1752774.0
2021-November;Tourists Number (Overnight Visitors);Total;Total;493593.0
2021-July;Tourists Spending (SAR);Albaha province;Al Bahah;26791.2
2022-July;Tourists Spending (SAR);Albaha province;Al Bahah;389688.6444037771
2023-August;Tourists Spending (SAR);Albaha province;Al Bahah;21871808.1
year-July;Tourists Spending (SAR);Albaha province;Other AlBaha;
year-August;Tourists Spending (SAR);Albaha province;Other AlBaha;
year-September;Tourists Spending (SAR);Albaha province;Other AlBaha;
year-October;Tourists Spending (SAR);Albaha province;Other AlBaha;
year-November;Tourists Spending (SAR);Albaha province;Other AlBaha;
2023-February;Tourists Spending (SAR);AlQassim Province;Buraydah;22258981.31
2021-March;Tourists Spending (SAR);AlQassim Province;Buraydah;80286635.1
2022-March;Tourists Spending (SAR);AlQassim Province;Buraydah;4935296.19
2022-April;Tourists Spending (SAR);AlQassim Province;Buraydah;3147786.31
2023-April;Tourists Spending (SAR);AlQassim Province;Buraydah;2800899.76
2022-May;Tourists Spending (SAR);AlQassim Province;Buraydah;10248612.79
2022-June;Tourists Spending (SAR);AlQassim Province;Buraydah;10701354.76
year-February;Tourists Spending (SAR);AlQassim Province;Rass;
2023-July;Tourists Spending (SAR);AlQassim Province;Rass;1536786.67
2021-December;Tourists Spending (SAR);AlQassim Province;Rass;87157.19
2023-January;Tourists Spending (SAR);AlQassim Province;Unayzah;6637674.27
2022-May;Tourists Spending (SAR);AlQassim Province;Unayzah;259249.44
2021-June;Tourists Spending (SAR);AlQassim Province;Unayzah;768405.42
2022-July;Tourists Spending (SAR);AlQassim Province;Unayzah;334312.03
2023-August;Tourists Spending (SAR);AlQassim Province;Unayzah;727200.23
2023-October;Tourists Spending (SAR);AlQassim Province;Unayzah;3136411.19
2022-December;Tourists Spending (SAR);AlQassim Province;Unayzah;195975969.39
2021-May;Tourists Spending (SAR);AlQassim Province;Other AlQassim;66264.84
2022-May;Tourists Spending (SAR);AlQassim Province;Other AlQassim;266720.30000000075
2021-August;Tourists Spending (SAR);AlQassim Province;Other AlQassim;770248.5
2022-January;Tourists Spending (SAR);Aseer Province;Abha;20810.74
2023-January;Tourists Spending (SAR);Aseer Province;Abha;23276499.72
2022-March;Tourists Spending (SAR);Aseer Province;Abha;7907767.85
2021-May;Tourists Spending (SAR);Aseer Province;Abha;117295.14
2022-May;Tourists Spending (SAR);Aseer Province;Abha;41816.33
2022-June;Tourists Spending (SAR);Aseer Province;Abha;2700208.73
2023-October;Tourists Spending (SAR);Aseer Province;Abha;20400039.13
2023-November;Tourists Spending (SAR);Aseer Province;Abha;20278317.5
2021-December;Tourists Spending (SAR);Aseer Province;Abha;39752935.46
2023-February;Tourists Spending (SAR);Aseer Province;Khamis Mushait;17700044.87
2023-May;Tourists Spending (SAR);Aseer Province;Khamis Mushait;46102236.01
2022-June;Tourists Spending (SAR);Aseer Province;Khamis Mushait;3191320.75
2023-June;Tourists Spending (SAR);Aseer Province;Khamis Mushait;2131331.8
2022-July;Tourists Spending (SAR);Aseer Province;Khamis Mushait;559843.77
2021-October;Tourists Spending (SAR);Aseer Province;Khamis Mushait;1277831.67
2022-November;Tourists Spending (SAR);Aseer Province;Khamis Mushait;6746467.83
2022-December;Tourists Spending (SAR);Aseer Province;Khamis Mushait;153470887.52
2023-December;Tourists Spending (SAR);Aseer Province;Khamis Mushait;11516695.18
2021-February;Tourists Spending (SAR);Aseer Province;Other Aseer;1581993.13
2021-August;Tourists Spending (SAR);Aseer Province;Other Aseer;735836.6
2023-September;Tourists Spending (SAR);Aseer Province;Other Aseer;12987956.509999998
2022-October;Tourists Spending (SAR);Aseer Province;Other Aseer;2891698.3599999994
2021-November;Tourists Spending (SAR);Aseer Province;Other Aseer;270898.61
2023-November;Tourists Spending (SAR);Aseer Province;Other Aseer;20301603.53
2023-December;Tourists Spending (SAR);Aseer Province;Other Aseer;18256255.61
2023-January;Tourists Spending (SAR);Eastern Province;Al Ahsa;228853017.48
2021-February;Tourists Spending (SAR);Eastern Province;Al Ahsa;7008775.28
2023-February;Tourists Spending (SAR);Eastern Province;Al Ahsa;137677615.86
2021-April;Tourists Spending (SAR);Eastern Province;Al Ahsa;3150068.69
2022-April;Tourists Spending (SAR);Eastern Province;Al Ahsa;83447683.61
2021-June;Tourists Spending (SAR);Eastern Province;Al Ahsa;2377894.39
2021-August;Tourists Spending (SAR);Eastern Province;Al Ahsa;11355333.49
2023-September;Tourists Spending (SAR);Eastern Province;Al Ahsa;66363282.95
2021-January;Tourists Spending (SAR);Eastern Province;Al Khobar;87711929.54
2023-April;Tourists Spending (SAR);Eastern Province;Al Khobar;467499814.75
2021-May;Tourists Spending (SAR);Eastern Province;Al Khobar;13682073.88
2021-July;Tourists Spending (SAR);Eastern Province;Al Khobar;14718393.5
2021-November;Tourists Spending (SAR);Eastern Province;Al Khobar;133456290.03
2021-December;Tourists Spending (SAR);Eastern Province;Al Khobar;126765756.78
2021-March;Tourists Spending (SAR);Eastern Province;Dammam;21235272.0
2021-June;Tourists Spending (SAR);Eastern Province;Dammam;183234537.39
2022-August;Tourists Spending (SAR);Eastern Province;Dammam;174504822.48
2023-August;Tourists Spending (SAR);Eastern Province;Dammam;300661359.21
2022-September;Tourists Spending (SAR);Eastern Province;Dammam;153502422.72
2021-October;Tourists Spending (SAR);Eastern Province;Dammam;156742789.09
2022-November;Tourists Spending (SAR);Eastern Province;Dammam;185849133.2
2021-March;Tourists Spending (SAR);Eastern Province;Other Eastern;10334152.42
2022-April;Tourists Spending (SAR);Eastern Province;Other Eastern;89458304.12
2023-June;Tourists Spending (SAR);Eastern Province;Other Eastern;128396230.52
2021-August;Tourists Spending (SAR);Eastern Province;Other Eastern;23528303.09
2022-August;Tourists Spending (SAR);Eastern Province;Other Eastern;149677888.11
2023-August;Tourists Spending (SAR);Eastern Province;Other Eastern;151752987.17000002
2023-November;Tourists Spending (SAR);Eastern Province;Other Eastern;182382503.79000002
2021-January;Tourists Spending (SAR);Hail Province;Hail;361931.1
2021-March;Tourists Spending (SAR);Hail Province;Hail;4497216.63
2023-June;Tourists Spending (SAR);Hail Province;Hail;103741513.81
2023-July;Tourists Spending (SAR);Hail Province;Hail;95752114.81
2021-August;Tourists Spending (SAR);Hail Province;Hail;3493614.49
2022-August;Tourists Spending (SAR);Hail Province;Hail;10746921.99
2022-October;Tourists Spending (SAR);Hail Province;Hail;19097687.5
2023-October;Tourists Spending (SAR);Hail Province;Hail;137343800.04
year-July;Tourists Spending (SAR);Hail Province;Other Hail;
year-August;Tourists Spending (SAR);Hail Province;Other Hail;
2021-January;Tourists Spending (SAR);Jazan Province;Jazan;2910693.04
2023-February;Tourists Spending (SAR);Jazan Province;Jazan;11724711.92
2023-October;Tourists Spending (SAR);Jazan Province;Jazan;55220.83
2022-March;Tourists Spending (SAR);Jazan Province;Other Jazan;61299929.949999996
2023-March;Tourists Spending (SAR);Jazan Province;Other Jazan;3791592.12
2023-June;Tourists Spending (SAR);Jazan Province;Other Jazan;2488183.18
2023-February;Tourists Spending (SAR);Jouf Province;Al Qurayyat;20647816.76
2022-May;Tourists Spending (SAR);Jouf Province;Al Qurayyat;2458955.73
2022-June;Tourists Spending (SAR);Jouf Province;Al Qurayyat;5184213.74
2023-June;Tourists Spending (SAR);Jouf Province;Al Qurayyat;22469116.21
2021-August;Tourists Spending (SAR);Jouf Province;Al Qurayyat;893950.6
2022-August;Tourists Spending (SAR);Jouf Province;Al Qurayyat;513.84
2023-September;Tourists Spending (SAR);Jouf Province;Al Qurayyat;8270360.39
2022-December;Tourists Spending (SAR);Jouf Province;Al Qurayyat;1799.9
2021-February;Tourists Spending (SAR);Jouf Province;Sakaka;688897.77
2021-May;Tourists Spending (SAR);Jouf Province;Sakaka;3626645.99
2021-June;Tourists Spending (SAR);Jouf Province;Sakaka;3496624.77
2022-June;Tourists Spending (SAR);Jouf Province;Sakaka;9647284.31
2023-June;Tourists Spending (SAR);Jouf Province;Sakaka;19676983.72
2023-July;Tourists Spending (SAR);Jouf Province;Sakaka;10138820.04
2022-September;Tourists Spending (SAR);Jouf Province;Sakaka;1024328.11
2023-September;Tourists Spending (SAR);Jouf Province;Sakaka;7483005.13
2023-October;Tourists Spending (SAR);Jouf Province;Sakaka;9643050.36
2023-February;Tourists Spending (SAR);Jouf Province;Other Jouf;2243507.98
year-June;Tourists Spending (SAR);Jouf Province;Other Jouf;
2023-October;Tourists Spending (SAR);Jouf Province;Other Jouf;193438.71
2023-March;Tourists Spending (SAR);Madinah Province;Al Ula;80613544.91
2022-April;Tourists Spending (SAR);Madinah Province;Al Ula;19336.57
2022-November;Tourists Spending (SAR);Madinah Province;Al Ula;35865456.18
2021-April;Tourists Spending (SAR);Madinah Province;Madinah;73734.42
2023-April;Tourists Spending (SAR);Madinah Province;Madinah;406728552.08
2023-July;Tourists Spending (SAR);Madinah Province;Madinah;127471218.77
2023-September;Tourists Spending (SAR);Madinah Province;Madinah;52156206.83
year-June;Tourists Spending (SAR);Madinah Province;Yanbu;
2023-September;Tourists Spending (SAR);Madinah Province;Yanbu;4634620.96
2023-November;Tourists Spending (SAR);Madinah Province;Yanbu;1717337.51
2023-January;Tourists Spending (SAR);Madinah Province;Other Madinah;541268.02
2023-July;Tourists Spending (SAR);Madinah Province;Other Madinah;0.0
2023-September;Tourists Spending (SAR);Madinah Province;Other Madinah;0.0
2021-October;Tourists Spending (SAR);Madinah Province;Other Madinah;116045.53
2022-January;Tourists Spending (SAR);Makkah Province;Jeddah;154244307.38
2021-February;Tourists Spending (SAR);Makkah Province;Jeddah;68265646.77
2021-October;Tourists Spending (SAR);Makkah Province;Jeddah;49087105.37
2023-November;Tourists Spending (SAR);Makkah Province;Jeddah;476413304.72
2021-February;Tourists Spending (SAR);Makkah Province;Makkah;15424064.81
2022-March;Tourists Spending (SAR);Makkah Province;Makkah;4109685971.32
2023-May;Tourists Spending (SAR);Makkah Province;Makkah;4334102074.17
2023-June;Tourists Spending (SAR);Makkah Province;Makkah;27094061300.28
2022-October;Tourists Spending (SAR);Makkah Province;Makkah;5599891634.08
2022-November;Tourists Spending (SAR);Makkah Province;Makkah;4946226060.47
2023-November;Tourists Spending (SAR);Makkah Province;Makkah;7423749310.65
2021-April;Tourists Spending (SAR);Makkah Province;Rabigh;952069.3
2021-June;Tourists Spending (SAR);Makkah Province;Rabigh;171328.35
2021-July;Tourists Spending (SAR);Makkah Province;Rabigh;242037.09
year-September;Tourists Spending (SAR);Makkah Province;Rabigh;
2021-October;Tourists Spending (SAR);Makkah Province;Rabigh;156888.44
2021-February;Tourists Spending (SAR);Makkah Province;Taif;418219.21
2021-June;Tourists Spending (SAR);Makkah Province;Taif;225792.09
2022-June;Tourists Spending (SAR);Makkah Province;Taif;2620656.71
2022-July;Tourists Spending (SAR);Makkah Province;Taif;2360593.53
2022-September;Tourists Spending (SAR);Makkah Province;Taif;7709755.14
2023-January;Tourists Spending (SAR);Makkah Province;Other Makkah;223966.4
2023-February;Tourists Spending (SAR);Makkah Province;Other Makkah;0.0
2021-April;Tourists Spending (SAR);Makkah Province;Other Makkah;2234005.92
2022-April;Tourists Spending (SAR);Makkah Province;Other Makkah;0.010000228881835938
2023-April;Tourists Spending (SAR);Makkah Province;Other Makkah;6636695.62
2021-May;Tourists Spending (SAR);Makkah Province;Other Makkah;66919.93
2023-May;Tourists Spending (SAR);Makkah Province;Other Makkah;0.0
2022-June;Tourists Spending (SAR);Makkah Province;Other Makkah;0.0
2023-September;Tourists Spending (SAR);Makkah Province;Other Makkah;0.0
2023-November;Tourists Spending (SAR);Makkah Province;Other Makkah;0.0
2022-December;Tourists Spending (SAR);Makkah Province;Other Makkah;0.010000228881835938
2022-March;Tourists Spending (SAR);Najran Province;Najran;32185.4
2023-April;Tourists Spending (SAR);Najran Province;Najran;740733.63
2021-February;Tourists Spending (SAR);Najran Province;Other Najran;76428.0
2023-June;Tourists Spending (SAR);Najran Province;Other Najran;0.0
2023-July;Tourists Spending (SAR);Najran Province;Other Najran;927333.49
2021-September;Tourists Spending (SAR);Najran Province;Other Najran;61464.19
2023-September;Tourists Spending (SAR);Najran Province;Other Najran;0.0
2021-January;Tourists Spending (SAR);Northern Borders Province;Arar;2488747.46
2023-April;Tourists Spending (SAR);Northern Borders Province;Arar;5919145.29
2021-May;Tourists Spending (SAR);Northern Borders Province;Arar;7371945.25
2023-June;Tourists Spending (SAR);Northern Borders Province;Arar;21791245.62
2023-July;Tourists Spending (SAR);Northern Borders Province;Arar;13075893.37
2023-August;Tourists Spending (SAR);Northern Borders Province;Arar;17310016.19
2021-September;Tourists Spending (SAR);Northern Borders Province;Arar;21478776.1
2021-October;Tourists Spending (SAR);Northern Borders Province;Arar;22481343.26
2022-November;Tourists Spending (SAR);Northern Borders Province;Arar;7743241.37
2023-December;Tourists Spending (SAR);Northern Borders Province;Arar;9068849.22
2021-March;Tourists Spending (SAR);Northern Borders Province;Other Northern Borders;1671526.09
2023-March;Tourists Spending (SAR);Northern Borders Province;Other Northern Borders;26291460.11
2023-June;Tourists Spending (SAR);Northern Borders Province;Other Northern Borders;55881966.79
2021-September;Tourists Spending (SAR);Northern Borders Province;Other Northern Borders;14854403.98
2022-September;Tourists Spending (SAR);Northern Borders Province;Other Northern Borders;4127214.5100000016
2023-March;Tourists Spending (SAR);Riyadh Province;Riyadh;1478085215.12
2022-July;Tourists Spending (SAR);Riyadh Province;Riyadh;516299151.18
2023-August;Tourists Spending (SAR);Riyadh Province;Riyadh;718101402.42
2022-September;Tourists Spending (SAR);Riyadh Province;Riyadh;845192569.35
2023-September;Tourists Spending (SAR);Riyadh Province;Riyadh;679852586.33
2023-October;Tourists Spending (SAR);Riyadh Province;Riyadh;572376315.61
2023-December;Tourists Spending (SAR);Riyadh Province;Riyadh;782899487.23
2023-February;Tourists Spending (SAR);Riyadh Province;Other Riyadh;37087617.410000004
2022-March;Tourists Spending (SAR);Riyadh Province;Other Riyadh;5747742.579999924
2022-April;Tourists Spending (SAR);Riyadh Province;Other Riyadh;6136331.329999924
2023-April;Tourists Spending (SAR);Riyadh Province;Other Riyadh;67119970.5
2022-June;Tourists Spending (SAR);Riyadh Province;Other Riyadh;27999411.409999847
2023-June;Tourists Spending (SAR);Riyadh Province;Other Riyadh;44649337.53
2021-July;Tourists Spending (SAR);Riyadh Province;Other Riyadh;1539644.09
2023-August;Tourists Spending (SAR);Riyadh Province;Other Riyadh;50828607.66000001
2021-November;Tourists Spending (SAR);Riyadh Province;Other Riyadh;11917083.33
2022-December;Tourists Spending (SAR);Riyadh Province;Other Riyadh;0.0
2023-February;Tourists Spending (SAR);Tabuk Province;Duba;6792563.38
2023-March;Tourists Spending (SAR);Tabuk Province;Duba;4479517.05
2023-May;Tourists Spending (SAR);Tabuk Province;Duba;2350425.4
2022-December;Tourists Spending (SAR);Tabuk Province;Duba;2514763.62
2023-December;Tourists Spending (SAR);Tabuk Province;Duba;2974621.33
2021-February;Tourists Spending (SAR);Tabuk Province;Tabuk;4097608.01
2023-April;Tourists Spending (SAR);Tabuk Province;Tabuk;2294928.26
2021-May;Tourists Spending (SAR);Tabuk Province;Tabuk;5329730.51
2022-September;Tourists Spending (SAR);Tabuk Province;Tabuk;152310391.38
2023-December;Tourists Spending (SAR);Tabuk Province;Tabuk;34476791.04
2023-February;Tourists Spending (SAR);Tabuk Province;Umluj;3856506.89
2023-June;Tourists Spending (SAR);Tabuk Province;Umluj;1657855.73
2023-October;Tourists Spending (SAR);Tabuk Province;Umluj;2090143.08
2023-May;Tourists Spending (SAR);Tabuk Province;Other Tabuk;1659255.11
2022-October;Tourists Spending (SAR);Tabuk Province;Other Tabuk;361011.83999999985
2023-November;Tourists Spending (SAR);Tabuk Province;Other Tabuk;1116912.43
2022-January;Tourists Spending (SAR);Total;Total;3147170615.18
2023-February;Tourists Spending (SAR);Total;Total;11704957341.86
2021-March;Tourists Spending (SAR);Total;Total;502989244.12
2023-May;Tourists Spending (SAR);Total;Total;9163928087.43
2023-June;Tourists Spending (SAR);Total;Total;30290166503.85
2023-July;Tourists Spending (SAR);Total;Total;4974464756.94
2021-October;Tourists Spending (SAR);Total;Total;1932996439.13
2022-October;Tourists Spending (SAR);Total;Total;8885720950.22
2022-December;Tourists Spending (SAR);Total;Total;12059526178.01
2021-February;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;27.0
2021-June;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;139.0
2023-September;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;3031.0
2023-December;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;2.0
year-May;Tourists Number (Overnight Visitors);Albaha province;BILJURASHI;
year-December;Tourists Number (Overnight Visitors);Albaha province;BILJURASHI;
year-May;Tourists Number (Overnight Visitors);Albaha province;Other AlBaha;
year-June;Tourists Number (Overnight Visitors);Albaha province;Other AlBaha;
2021-February;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;1148.0
2023-March;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;9031.0
2023-April;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;1193.0
2023-May;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;5449.0
2022-June;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;3698.0
2021-September;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;742.0
2023-December;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;11675.0
2023-January;Tourists Number (Overnight Visitors);AlQassim Province;Rass;1830.0
2021-July;Tourists Number (Overnight Visitors);AlQassim Province;Rass;258.0
2022-October;Tourists Number (Overnight Visitors);AlQassim Province;Rass;300.0
2021-November;Tourists Number (Overnight Visitors);AlQassim Province;Rass;34.0
2022-January;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;998.0
2022-July;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;201.0
2023-November;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;3192.0
2023-March;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;567.0
2021-April;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;105.0
2022-April;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;0.0
2021-May;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;30.0
2022-July;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;32.0
2023-October;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;145.0
2022-December;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;4927.0
2023-March;Tourists Number (Overnight Visitors);Aseer Province;Abha;3470.0
2021-August;Tourists Number (Overnight Visitors);Aseer Province;Abha;590.0
2023-September;Tourists Number (Overnight Visitors);Aseer Province;Abha;10155.0
2021-November;Tourists Number (Overnight Visitors);Aseer Province;Abha;1274.0
2022-November;Tourists Number (Overnight Visitors);Aseer Province;Abha;5594.0
2022-January;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;1.0
2023-February;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;3807.0
2023-September;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;3633.0
2022-October;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;652.0
