Date;Indicator;Province;Value
2023-09;Tourists Number (Overnight Visitors);Eastern Province;1092625.0
2021-10;Tourists Number (Overnight Visitors);Eastern Province;796055.0
2022-10;Tourists Number (Overnight Visitors);Eastern Province;868031.0
2023-10;Tourists Number (Overnight Visitors);Eastern Province;1071765.0
2021-11;Tourists Number (Overnight Visitors);Eastern Province;913056.0
2021-04;Tourists Number (Overnight Visitors);Jazan;127996.0
2022-04;Tourists Number (Overnight Visitors);Jazan;201548.0
2023-05;Tourists Number (Overnight Visitors);Jazan;78674.0
2022-06;Tourists Number (Overnight Visitors);Jazan;84572.0
2021-08;Tourists Number (Overnight Visitors);Jazan;201034.0
2022-08;Tourists Number (Overnight Visitors);Jazan;192795.0
2023-10;Tourists Number (Overnight Visitors);Jazan;122749.0
2021-11;Tourists Number (Overnight Visitors);Jazan;278839.0
2022-11;Tourists Number (Overnight Visitors);Jazan;176110.0
2021-12;Tourists Number (Overnight Visitors);Jazan;227256.0
2022-01;Tourists Number (Overnight Visitors);Jouf;128030.0
2021-02;Tourists Number (Overnight Visitors);Jouf;61338.0
2023-05;Tourists Number (Overnight Visitors);Jouf;63512.0
2022-08;Tourists Number (Overnight Visitors);Jouf;133570.0
2023-08;Tourists Number (Overnight Visitors);Jouf;82476.0
2021-09;Tourists Number (Overnight Visitors);Jouf;54556.0
2023-09;Tourists Number (Overnight Visitors);Jouf;90373.0
2023-10;Tourists Number (Overnight Visitors);Jouf;89601.0
2022-01;Tourists Number (Overnight Visitors);Madinah;580164.0
2021-02;Tourists Number (Overnight Visitors);Madinah;276068.0
2022-03;Tourists Number (Overnight Visitors);Madinah;488231.0
2022-05;Tourists Number (Overnight Visitors);Madinah;603769.0
2022-09;Tourists Number (Overnight Visitors);Madinah;344752.0
2023-12;Tourists Number (Overnight Visitors);Madinah;503420.0
2021-01;Tourists Number (Overnight Visitors);Makkah;1652849.0
2022-01;Tourists Number (Overnight Visitors);Makkah;2084903.0
2023-01;Tourists Number (Overnight Visitors);Makkah;1723958.0
2023-03;Tourists Number (Overnight Visitors);Makkah;1965067.0
2022-04;Tourists Number (Overnight Visitors);Makkah;3363459.0
