,Indicator,Province,Value,year,month
654,Tourists Number (Overnight Visitors),Jazan,185306.0,2021,09
655,Tourists Number (Overnight Visitors),Jazan,254341.0,2023,11
656,Tourists Number (Overnight Visitors),Jouf,106086.0,2022,02
657,Tourists Number (Overnight Visitors),Jouf,89630.0,2022,03
658,Tourists Number (Overnight Visitors),Jouf,89546.0,2021,05
659,Tourists Number (Overnight Visitors),Jouf,47694.0,2021,06
660,Tourists Number (Overnight Visitors),Jouf,102492.0,2021,11
661,Tourists Number (Overnight Visitors),Jouf,105520.0,2022,11
662,Tourists Number (Overnight Visitors),Jouf,135644.0,2023,11
663,Tourists Number (Overnight Visitors),Jouf,86711.0,2023,12
664,Tourists Number (Overnight Visitors),Madinah,443723.0,2021,01
665,Tourists Number (Overnight Visitors),Madinah,390244.0,2023,02
666,Tourists Number (Overnight Visitors),Madinah,293061.0,2021,03
667,Tourists Number (Overnight Visitors),Madinah,773333.0,2022,04
668,Tourists Number (Overnight Visitors),Madinah,553587.0,2023,04
669,Tourists Number (Overnight Visitors),Madinah,381905.0,2021,10
670,Tourists Number (Overnight Visitors),Madinah,366580.0,2022,12
671,Tourists Number (Overnight Visitors),Makkah,1445499.0,2023,02
672,Tourists Number (Overnight Visitors),Makkah,1361018.0,2021,04
673,Tourists Number (Overnight Visitors),Makkah,2163229.0,2023,04
674,Tourists Number (Overnight Visitors),Makkah,2125268.0,2021,05
675,Tourists Number (Overnight Visitors),Makkah,2072431.0,2022,05
676,Tourists Number (Overnight Visitors),Makkah,3022765.0,2022,07
677,Tourists Number (Overnight Visitors),Makkah,1975918.0,2023,08
678,Tourists Number (Overnight Visitors),Makkah,1268430.0,2021,09
679,Tourists Number (Overnight Visitors),Makkah,1169428.0,2022,09
680,Tourists Number (Overnight Visitors),Najran,55717.0,2021,03
681,Tourists Number (Overnight Visitors),Najran,81276.0,2021,05
682,Tourists Number (Overnight Visitors),Najran,43828.0,2021,06
683,Tourists Number (Overnight Visitors),Najran,52823.0,2022,06
684,Tourists Number (Overnight Visitors),Najran,156630.0,2023,06
685,Tourists Number (Overnight Visitors),Najran,104803.0,2021,07
686,Tourists Number (Overnight Visitors),Najran,183918.0,2022,07
687,Tourists Number (Overnight Visitors),Najran,104720.0,2023,07
688,Tourists Number (Overnight Visitors),Najran,100409.0,2023,11
689,Tourists Number (Overnight Visitors),Northern Borders,76032.0,2021,01
690,Tourists Number (Overnight Visitors),Northern Borders,93776.0,2023,01
691,Tourists Number (Overnight Visitors),Northern Borders,110373.0,2022,02
692,Tourists Number (Overnight Visitors),Northern Borders,59066.0,2021,03
693,Tourists Number (Overnight Visitors),Northern Borders,85893.0,2023,03
694,Tourists Number (Overnight Visitors),Northern Borders,102968.0,2021,07
695,Tourists Number (Overnight Visitors),Northern Borders,82483.0,2022,08
696,Tourists Number (Overnight Visitors),Northern Borders,77579.0,2023,08
697,Tourists Number (Overnight Visitors),Northern Borders,72992.0,2023,09
698,Tourists Number (Overnight Visitors),Northern Borders,84874.0,2021,10
699,Tourists Number (Overnight Visitors),Northern Borders,96409.0,2022,11
700,Tourists Number (Overnight Visitors),Riyadh,1653045.0,2022,01
701,Tourists Number (Overnight Visitors),Riyadh,745191.0,2021,04
702,Tourists Number (Overnight Visitors),Riyadh,1488316.0,2023,06
703,Tourists Number (Overnight Visitors),Riyadh,1503380.0,2022,08
704,Tourists Number (Overnight Visitors),Riyadh,1149141.0,2022,10
705,Tourists Number (Overnight Visitors),Tabuk,206791.0,2021,01
706,Tourists Number (Overnight Visitors),Tabuk,220168.0,2022,02
707,Tourists Number (Overnight Visitors),Tabuk,220964.0,2023,03
708,Tourists Number (Overnight Visitors),Tabuk,163959.0,2021,04
709,Tourists Number (Overnight Visitors),Tabuk,218853.0,2022,04
710,Tourists Number (Overnight Visitors),Tabuk,246430.0,2022,05
